id,date,effectiveDate,resolutionDate,typeCode,typeDesc,description,person.id,person.fullName,person.link,toTeam.id,toTeam.name,toTeam.link,fromTeam.id,fromTeam.name,fromTeam.link
459458,2021-01-05,2021-01-05,2021-01-05,SFA,Signed as Free Agent,Seattle Mariners signed free agent RHP Kevin Munson to a minor league contract.,576409.0,Kevin Munson,/api/v1/people/576409,136,Seattle Mariners,/api/v1/teams/136,,,
459494,2021-01-07,2021-01-07,2021-01-07,NUM,Number Change,Andres Munoz changed number to 54.,662253.0,Andrés Muñoz,/api/v1/people/662253,136,Seattle Mariners,/api/v1/teams/136,,,
459500,2021-01-07,2021-01-07,2021-01-07,NUM,Number Change,Juan Then changed number to 43.,672730.0,Juan Then,/api/v1/people/672730,136,Seattle Mariners,/api/v1/teams/136,,,
459512,2021-01-08,2021-01-08,2021-01-08,SFA,Signed as Free Agent,Seattle Mariners signed free agent RHP Paul Sewald to a minor league contract.,623149.0,Paul Sewald,/api/v1/people/623149,136,Seattle Mariners,/api/v1/teams/136,,,
459506,2021-01-08,2021-01-08,2021-01-08,SFA,Signed as Free Agent,Seattle Mariners signed free agent LHP Roenis Elias to a minor league contract.,606273.0,Roenis Elías,/api/v1/people/606273,136,Seattle Mariners,/api/v1/teams/136,,,
459511,2021-01-08,2021-01-08,2021-01-08,SFA,Signed as Free Agent,Seattle Mariners signed free agent 3B Jantzen Witte to a minor league contract.,642220.0,Jantzen Witte,/api/v1/people/642220,136,Seattle Mariners,/api/v1/teams/136,,,
459989,2021-01-10,2021-01-10,2021-01-10,SFA,Signed as Free Agent,Seattle Mariners signed free agent SS David Masters to a minor league contract.,607635.0,David Masters,/api/v1/people/607635,136,Seattle Mariners,/api/v1/teams/136,,,
460002,2021-01-14,2021-01-14,2021-01-14,SFA,Signed as Free Agent,Seattle Mariners signed free agent OF Dillon Thomas to a minor league contract.,605504.0,Dillon Thomas,/api/v1/people/605504,136,Seattle Mariners,/api/v1/teams/136,,,
460953,2021-01-19,2021-01-19,2021-01-19,SFA,Signed as Free Agent,Seattle Mariners signed free agent CF Eddie Paparella to a minor league contract.,641947.0,Ed Paparella,/api/v1/people/641947,136,Seattle Mariners,/api/v1/teams/136,,,
461693,2021-01-22,2021-01-22,2021-01-22,SFA,Signed as Free Agent,Seattle Mariners signed free agent 2B Starlin Aguilar to a minor league contract.,694223.0,Starlin Aguilar,/api/v1/people/694223,136,Seattle Mariners,/api/v1/teams/136,,,
472982,2021-01-22,2021-01-22,2021-01-22,SFA,Signed as Free Agent,Seattle Mariners signed free agent Victor Labrada.,700032.0,Victor Labrada,/api/v1/people/700032,136,Seattle Mariners,/api/v1/teams/136,,,
476716,2021-01-22,2021-01-22,2021-01-22,SFA,Signed as Free Agent,Seattle Mariners signed free agent OF Juan Cruz.,700319.0,Juan Cruz,/api/v1/people/700319,136,Seattle Mariners,/api/v1/teams/136,,,
460808,2021-01-28,2021-01-28,2021-01-28,ASG,Assigned,Seattle Mariners invited non-roster C Jose Godoy to spring training.,608422.0,José Godoy,/api/v1/people/608422,136,Seattle Mariners,/api/v1/teams/136,,,
460807,2021-01-28,2021-01-28,2021-01-28,ASG,Assigned,Seattle Mariners invited non-roster RHP Jimmy Yacabonis to spring training.,642231.0,Jimmy Yacabonis,/api/v1/people/642231,136,Seattle Mariners,/api/v1/teams/136,,,
460817,2021-01-28,2021-01-28,2021-01-28,ASG,Assigned,Seattle Mariners invited non-roster 1B Sam Travis to spring training.,607752.0,Sam Travis,/api/v1/people/607752,136,Seattle Mariners,/api/v1/teams/136,,,
460816,2021-01-28,2021-01-28,2021-01-28,ASG,Assigned,Seattle Mariners invited non-roster C Cal Raleigh to spring training.,663728.0,Cal Raleigh,/api/v1/people/663728,136,Seattle Mariners,/api/v1/teams/136,,,
460818,2021-01-28,2021-01-28,2021-01-28,ASG,Assigned,Seattle Mariners invited non-roster 3B Jantzen Witte to spring training.,642220.0,Jantzen Witte,/api/v1/people/642220,136,Seattle Mariners,/api/v1/teams/136,,,
460814,2021-01-28,2021-01-28,2021-01-28,ASG,Assigned,Seattle Mariners invited non-roster C Carter Bins to spring training.,670190.0,Carter Bins,/api/v1/people/670190,136,Seattle Mariners,/api/v1/teams/136,,,
460801,2021-01-28,2021-01-28,2021-01-28,ASG,Assigned,Seattle Mariners invited non-roster LHP Roenis Elias to spring training.,606273.0,Roenis Elías,/api/v1/people/606273,136,Seattle Mariners,/api/v1/teams/136,,,
460825,2021-01-28,2021-01-28,2021-01-28,ASG,Assigned,Seattle Mariners invited non-roster RF Julio Y. Rodriguez to spring training.,677594.0,Julio Rodríguez,/api/v1/people/677594,136,Seattle Mariners,/api/v1/teams/136,,,
460802,2021-01-28,2021-01-28,2021-01-28,ASG,Assigned,Seattle Mariners invited non-roster RHP Moises Gomez to spring training.,656001.0,Moises Gomez,/api/v1/people/656001,136,Seattle Mariners,/api/v1/teams/136,,,
460804,2021-01-28,2021-01-28,2021-01-28,ASG,Assigned,Seattle Mariners invited non-roster RHP Matt Magill to spring training.,543483.0,Matt Magill,/api/v1/people/543483,136,Seattle Mariners,/api/v1/teams/136,,,
460803,2021-01-28,2021-01-28,2021-01-28,ASG,Assigned,Seattle Mariners invited non-roster RHP Brady Lail to spring training.,621078.0,Brady Lail,/api/v1/people/621078,136,Seattle Mariners,/api/v1/teams/136,,,
460826,2021-01-28,2021-01-28,2021-01-28,ASG,Assigned,Seattle Mariners invited non-roster RF Dillon Thomas to spring training.,605504.0,Dillon Thomas,/api/v1/people/605504,136,Seattle Mariners,/api/v1/teams/136,,,
460810,2021-01-28,2021-01-28,2021-01-28,ASG,Assigned,Seattle Mariners invited non-roster RHP Darren McCaughan to spring training.,670766.0,Darren McCaughan,/api/v1/people/670766,136,Seattle Mariners,/api/v1/teams/136,,,
460811,2021-01-28,2021-01-28,2021-01-28,ASG,Assigned,Seattle Mariners invited non-roster LHP Ian McKinney to spring training.,641855.0,Ian McKinney,/api/v1/people/641855,136,Seattle Mariners,/api/v1/teams/136,,,
460805,2021-01-28,2021-01-28,2021-01-28,ASG,Assigned,Seattle Mariners invited non-roster RHP Logan Gilbert to spring training.,669302.0,Logan Gilbert,/api/v1/people/669302,136,Seattle Mariners,/api/v1/teams/136,,,
460806,2021-01-28,2021-01-28,2021-01-28,ASG,Assigned,Seattle Mariners invited non-roster RHP Vinny Nittoli to spring training.,657697.0,Vinny Nittoli,/api/v1/people/657697,136,Seattle Mariners,/api/v1/teams/136,,,
460812,2021-01-28,2021-01-28,2021-01-28,ASG,Assigned,Seattle Mariners invited non-roster RHP Paul Sewald to spring training.,623149.0,Paul Sewald,/api/v1/people/623149,136,Seattle Mariners,/api/v1/teams/136,,,
460813,2021-01-28,2021-01-28,2021-01-28,ASG,Assigned,Seattle Mariners invited non-roster RHP Drew Steckenrider to spring training.,608716.0,Drew Steckenrider,/api/v1/people/608716,136,Seattle Mariners,/api/v1/teams/136,,,
460815,2021-01-28,2021-01-28,2021-01-28,ASG,Assigned,Seattle Mariners invited non-roster C Josh Morgan to spring training.,656766.0,Josh Morgan,/api/v1/people/656766,136,Seattle Mariners,/api/v1/teams/136,,,
