date,player,typeDesc,description
2021-03-31,Drew Steckenrider,Selected,Seattle Mariners selected the contract of P Drew Steckenrider from Tacoma Rainiers.
2021-05-01,Wyatt Mills,Recalled,Seattle Mariners recalled RHP Wyatt Mills from Tacoma Rainiers.
2021-05-02,Erik Swanson,Recalled,Seattle Mariners recalled RHP Erik Swanson from Tacoma Rainiers.
2021-05-04,Aaron Fletcher,Recalled,Seattle Mariners recalled LHP Aaron Fletcher from Tacoma Rainiers.
2021-05-05,Wyatt Mills,Recalled,Seattle Mariners recalled RHP Wyatt Mills from Tacoma Rainiers.
2021-05-09,JT Chargois,Selected,Seattle Mariners selected the contract of RHP JT Chargois from Tacoma Rainiers.
2021-05-13,,Selected,"Seattle Mariners selected the contract of RHP Logan Gilbert, , ,  and  from Tacoma Rainiers."
2021-05-13,Jarred Kelenic,Selected,Seattle Mariners selected the contract of OF Jarred Kelenic from Tacoma Rainiers.
2021-05-13,Paul Sewald,Selected,Seattle Mariners selected the contract of RHP Paul Sewald from Tacoma Rainiers.
2021-05-14,Donovan Walton,Recalled,Seattle Mariners recalled 2B Donovan Walton from Tacoma Rainiers.
2021-05-14,Jack Mayfield,Recalled,Seattle Mariners recalled 2B Jack Mayfield from Tacoma Rainiers.
2021-05-17,Brady Lail,Selected,Seattle Mariners selected the contract of RHP Brady Lail from Tacoma Rainiers.
2021-05-19,Jack Mayfield,Recalled,Seattle Mariners recalled 2B Jack Mayfield from Tacoma Rainiers.
2021-05-20,José Godoy,Selected,Seattle Mariners selected the contract of C Jose Godoy from Tacoma Rainiers.
2021-05-21,Eric Campbell,Selected,Seattle Mariners selected the contract of 3B Eric Campbell from Tacoma Rainiers.
2021-05-21,Aaron Fletcher,Recalled,Seattle Mariners recalled LHP Aaron Fletcher from Tacoma Rainiers.
2021-05-21,Wyatt Mills,Recalled,Seattle Mariners recalled RHP Wyatt Mills from Tacoma Rainiers.
2021-05-21,Yohan Ramírez,Recalled,Seattle Mariners recalled RHP Yohan Ramirez from Tacoma Rainiers.
2021-05-23,Wyatt Mills,Recalled,Seattle Mariners recalled RHP Wyatt Mills from Tacoma Rainiers.
2021-05-27,Héctor Santiago,Selected,Seattle Mariners selected the contract of LHP Hector Santiago from Tacoma Rainiers.
2021-05-27,Daniel Zamora,Recalled,Seattle Mariners recalled LHP Daniel Zamora from Tacoma Rainiers.
2021-06-01,Travis Blankenhorn,Recalled,Seattle Mariners recalled 3B Travis Blankenhorn from Tacoma Rainiers.
2021-06-01,Taylor Trammell,Recalled,Seattle Mariners recalled LF Taylor Trammell from Tacoma Rainiers.
2021-06-02,Robert Dugger,Recalled,Seattle Mariners recalled RHP Robert Dugger from Tacoma Rainiers.
2021-06-05,Yacksel Ríos,Selected,Seattle Mariners selected the contract of RHP Yacksel Rios from Tacoma Rainiers.
2021-06-08,Dillon Thomas,Selected,Seattle Mariners selected the contract of LF Dillon Thomas from Tacoma Rainiers.
2021-06-12,Yohan Ramírez,Recalled,Seattle Mariners recalled RHP Yohan Ramirez from Tacoma Rainiers.
2021-06-14,Luis Torrens,Recalled,"Seattle Mariners recalled C Luis Torrens,  and  from Tacoma Rainiers."
2021-06-18,Yohan Ramírez,Recalled,Seattle Mariners recalled RHP Yohan Ramirez from Tacoma Rainiers.
2021-06-18,Vinny Nittoli,Selected,Seattle Mariners selected the contract of RHP Vinny Nittoli from Tacoma Rainiers.
2021-06-22,Donovan Walton,Recalled,Seattle Mariners recalled 2B Donovan Walton from Tacoma Rainiers.
2021-06-24,Keynan Middleton,Recalled,Seattle Mariners recalled RHP Keynan Middleton from Tacoma Rainiers.
2021-06-27,Robert Dugger,Recalled,Seattle Mariners recalled RHP Robert Dugger from Tacoma Rainiers.
2021-06-27,Yohan Ramírez,Recalled,Seattle Mariners recalled RHP Yohan Ramirez from Tacoma Rainiers.
2021-07-11,,Selected,"Seattle Mariners selected the contract of C Cal Raleigh,  and  from Tacoma Rainiers."
2021-07-11,Donovan Walton,Recalled,Seattle Mariners recalled 2B Donovan Walton from Tacoma Rainiers.
2021-07-18,Dillon Thomas,Recalled,Seattle Mariners recalled LF Dillon Thomas from Tacoma Rainiers.
2021-07-21,Darren McCaughan,Selected,Seattle Mariners selected the contract of RHP Darren McCaughan from Tacoma Rainiers.
2021-07-22,Donovan Walton,Recalled,Seattle Mariners recalled 2B Donovan Walton from Tacoma Rainiers.
2021-07-25,Ryan Weber,Recalled,Seattle Mariners recalled RHP Ryan Weber from Tacoma Rainiers.
2021-07-30,Wyatt Mills,Recalled,Seattle Mariners recalled RHP Wyatt Mills from Tacoma Rainiers.
2021-08-12,Yohan Ramírez,Recalled,Seattle Mariners recalled RHP Yohan Ramirez from Tacoma Rainiers.
2021-08-20,,Recalled,"Seattle Mariners recalled RHP Yohan Ramirez,  and  from Tacoma Rainiers."
2021-08-21,Robert Dugger,Recalled,Seattle Mariners recalled RHP Robert Dugger from Tacoma Rainiers.
2021-08-28,Wyatt Mills,Recalled,Seattle Mariners recalled RHP Wyatt Mills from Tacoma Rainiers.
2021-08-28,Jimmy Yacabonis,Selected,Seattle Mariners selected the contract of RHP Jimmy Yacabonis from Tacoma Rainiers.
2021-08-30,José Marmolejos,Selected,Seattle Mariners selected the contract of 1B Jose Marmolejos from Tacoma Rainiers.
2021-09-01,Kevin Padlo,Recalled,Seattle Mariners recalled 3B Kevin Padlo from Tacoma Rainiers.
2021-09-09,Kevin Padlo,Recalled,Seattle Mariners recalled 3B Kevin Padlo from Tacoma Rainiers.
2021-09-27,Wyatt Mills,Recalled,Seattle Mariners recalled RHP Wyatt Mills from Tacoma Rainiers.
2021-09-28,,Selected,"Seattle Mariners selected the contract of RHP Matt Brash,  and  from Tacoma Rainiers."
2021-10-02,Donovan Walton,Recalled,Seattle Mariners recalled 2B Donovan Walton from Tacoma Rainiers.
2021-10-05,Kevin Padlo,Recalled,Seattle Mariners recalled 3B Kevin Padlo from Tacoma Rainiers.
2021-10-05,Marcus Wilson,Recalled,Seattle Mariners recalled CF Marcus Wilson from Tacoma Rainiers.
2021-10-05,Darren McCaughan,Recalled,Seattle Mariners recalled RHP Darren McCaughan from Tacoma Rainiers.
2021-10-05,Taylor Trammell,Recalled,Seattle Mariners recalled LF Taylor Trammell from Tacoma Rainiers.
2021-10-05,José Godoy,Recalled,Seattle Mariners recalled C Jose Godoy from Tacoma Rainiers.
2021-10-05,,Recalled,"Seattle Mariners recalled LHP Justus Sheffield,  and  from Tacoma Rainiers."
2021-10-05,Aaron Fletcher,Recalled,Seattle Mariners recalled LHP Aaron Fletcher from Tacoma Rainiers.
2021-10-05,Wyatt Mills,Recalled,Seattle Mariners recalled RHP Wyatt Mills from Tacoma Rainiers.
2021-10-05,Joey Gerber,Recalled,Seattle Mariners recalled RHP Joey Gerber from Tacoma Rainiers.
2021-10-05,Ryan Weber,Recalled,Seattle Mariners recalled RHP Ryan Weber from Tacoma Rainiers.
2021-11-18,Ray Kerr,Selected,Seattle Mariners selected the contract of LHP Ray Kerr from Tacoma Rainiers.
2022-04-07,,Selected,"Seattle Mariners selected the contract of RHP Matthew Festa,  and  from Tacoma Rainiers."
2022-04-13,,Selected,"Seattle Mariners selected the contract of RHP Matt Koch,  and  from Tacoma Rainiers."
2022-04-16,Donovan Walton,Recalled,Seattle Mariners recalled 2B Donovan Walton from Tacoma Rainiers.
2022-04-19,Mike Ford,Selected,Seattle Mariners selected the contract of 1B Mike Ford from Tacoma Rainiers.
2022-04-20,Penn Murfee,Selected,Seattle Mariners selected the contract of RHP Penn Murfee from Tacoma Rainiers.
2022-04-28,Wyatt Mills,Recalled,Seattle Mariners recalled RHP Wyatt Mills from Tacoma Rainiers.
2022-04-28,Penn Murfee,Selected,Seattle Mariners selected the contract of RHP Penn Murfee from Tacoma Rainiers.
2022-04-30,Stuart Fairchild,Recalled,Seattle Mariners recalled OF Stuart Fairchild from Tacoma Rainiers.
2022-05-05,Riley O'Brien,Recalled,Seattle Mariners recalled RHP Riley O'Brien from Tacoma Rainiers.
2022-05-05,Danny Young,Selected,Seattle Mariners selected the contract of LHP Danny Young from Tacoma Rainiers.
2022-05-07,,Recalled,"Seattle Mariners recalled C Cal Raleigh,  and  from Tacoma Rainiers."
2022-05-13,Steven Souza Jr.,Selected,Seattle Mariners selected the contract of RF Steven Souza Jr. from Tacoma Rainiers.
2022-05-13,,Recalled,"Seattle Mariners recalled OF Jarred Kelenic, ,  and  from Tacoma Rainiers."
2022-05-14,Danny Young,Recalled,Seattle Mariners recalled LHP Danny Young from Tacoma Rainiers.
2022-05-16,Roenis Elías,Selected,Seattle Mariners selected the contract of LHP Roenis Elias from Tacoma Rainiers.
2022-05-22,,Recalled,Seattle Mariners recalled LF Taylor Trammell and  from Tacoma Rainiers.
2022-05-22,Sam Haggerty,Selected,Seattle Mariners selected the contract of 2B Sam Haggerty from Tacoma Rainiers.
2022-05-27,Roenis Elías,Selected,Seattle Mariners selected the contract of LHP Roenis Elias from Tacoma Rainiers.
2022-06-17,,Recalled,Seattle Mariners recalled LF Justin Upton and  from Tacoma Rainiers.
2022-06-18,Tommy Milone,Selected,Seattle Mariners selected the contract of LHP Tommy Milone from Tacoma Rainiers.
2022-06-18,Justus Sheffield,Recalled,Seattle Mariners recalled LHP Justus Sheffield from Tacoma Rainiers.
2022-06-20,Kevin Padlo,Recalled,Seattle Mariners recalled 3B Kevin Padlo from Tacoma Rainiers.
2022-06-25,Drew Ellis,Recalled,Seattle Mariners recalled 3B Drew Ellis from Tacoma Rainiers.
2022-06-27,Andrew Knapp,Selected,Seattle Mariners selected the contract of C Andrew Knapp from Tacoma Rainiers.
2022-06-29,,Recalled,Seattle Mariners recalled 2B Sam Haggerty and  from Tacoma Rainiers.
2022-06-29,Marcus Wilson,Selected,Seattle Mariners selected the contract of CF Marcus Wilson from Tacoma Rainiers.
2022-07-09,Matt Brash,Recalled,Seattle Mariners recalled RHP Matt Brash from Tacoma Rainiers.
2022-07-09,Matt Festa,Recalled,Seattle Mariners recalled RHP Matthew Festa from Tacoma Rainiers.
2022-07-09,Jacob Barnes,Selected,Seattle Mariners selected the contract of RHP Jacob Barnes from Tacoma Rainiers.
2022-07-13,Danny Young,Recalled,Seattle Mariners recalled LHP Danny Young from Tacoma Rainiers.
2022-07-15,Kevin Padlo,Recalled,Seattle Mariners recalled 3B Kevin Padlo from Tacoma Rainiers.
2022-07-26,,Recalled,"Seattle Mariners recalled RHP George Kirby,  and  from Tacoma Rainiers."
2022-07-28,,Recalled,"Seattle Mariners recalled RHP Matt Brash,  and  from Tacoma Rainiers."
2022-07-30,Brennan Bernardino,Selected,Seattle Mariners selected the contract of LHP Brennan Bernardino from Tacoma Rainiers.
2022-08-06,Brennan Bernardino,Recalled,Seattle Mariners recalled LHP Brennan Bernardino from Tacoma Rainiers.
2022-08-09,Brennan Bernardino,Recalled,Seattle Mariners recalled LHP Brennan Bernardino from Tacoma Rainiers.
2022-08-10,,Recalled,Seattle Mariners recalled OF Jarred Kelenic and  from Tacoma Rainiers.
2022-08-30,Abraham Toro,Recalled,Seattle Mariners recalled 3B Abraham Toro from Tacoma Rainiers.
2022-09-01,Taylor Trammell,Recalled,Seattle Mariners recalled LF Taylor Trammell from Tacoma Rainiers.
2022-09-21,Luis Torrens,Selected,Seattle Mariners selected the contract of C Luis Torrens from Tacoma Rainiers.
2022-09-21,,Recalled,"Seattle Mariners recalled OF Jarred Kelenic, , ,  and  from Tacoma Rainiers."
2022-09-23,Taylor Trammell,Recalled,Seattle Mariners recalled LF Taylor Trammell from Tacoma Rainiers.
2022-09-30,Brian O'Keefe,Selected,Seattle Mariners selected the contract of C Brian O'Keefe from Tacoma Rainiers.
2022-10-04,Abraham Toro,Recalled,Seattle Mariners recalled 3B Abraham Toro from Tacoma Rainiers.
